Time,Population,Resources,Slows,Middles,Fasts
sec_0,1,999,0,0,0
sec_1,4,968,0,2,1
sec_2,12,898,1,4,6
sec_3,23,756,6,7,9
sec_4,47,501,15,13,18
sec_5,71,273,23,22,25
sec_6,76,200,26,27,22
sec_7,69,344,27,23,18
sec_8,68,271,28,22,18
sec_9,77,197,29,27,21
sec_10,75,291,24,29,22
sec_11,78,233,24,30,24
sec_12,83,192,25,31,27
sec_13,85,196,24,33,28
sec_14,82,222,25,31,26
sec_15,87,199,26,33,28
sec_16,85,240,24,30,31
sec_17,90,231,24,34,32
sec_18,96,195,27,37,32
sec_19,103,207,26,43,34
sec_20,108,193,27,44,37
sec_21,112,194,28,46,38
sec_22,113,230,30,45,38
sec_23,118,211,30,48,40
sec_24,115,238,31,44,40
sec_25,117,203,34,40,43
sec_26,115,218,33,38,44
sec_27,116,249,36,39,41
sec_28,113,234,36,39,38
sec_29,104,209,38,35,31
sec_30,105,196,40,34,31
sec_31,106,195,37,37,32
sec_32,109,207,37,35,37
sec_33,106,230,31,35,40
sec_34,113,194,37,34,42
sec_35,116,232,38,31,47
sec_36,115,224,36,32,47
sec_37,111,198,35,32,44
sec_38,105,249,35,32,38
sec_39,106,208,35,34,37
sec_40,102,245,33,34,35
sec_41,98,232,33,35,30
sec_42,95,255,34,32,29
sec_43,93,248,36,31,26
sec_44,93,243,36,29,28
sec_45,94,262,34,27,33
sec_46,93,270,37,24,32
sec_47,92,218,38,25,29
sec_48,89,264,37,23,29
sec_49,96,238,41,24,31
sec_50,104,196,42,28,34
sec_51,111,198,44,31,36
sec_52,117,192,44,36,37
sec_53,114,291,43,36,35
sec_54,119,196,46,36,37
sec_55,121,197,46,37,38
sec_56,116,239,45,31,40
sec_57,119,206,46,29,44
sec_58,124,213,42,33,49
sec_59,132,192,47,39,46
sec_60,131,219,44,43,44
sec_61,138,222,44,43,51
sec_62,145,193,47,46,52
sec_63,150,193,51,46,53
sec_64,145,318,50,41,54
sec_65,148,207,46,44,58
sec_66,151,217,51,44,56
sec_67,154,203,50,45,59
sec_68,152,194,46,49,57
sec_69,152,218,44,50,58
sec_70,152,213,44,50,58
sec_71,147,205,45,46,56
sec_72,139,250,47,43,49
sec_73,142,234,52,40,50
sec_74,142,209,51,40,51
sec_75,137,244,46,40,51
sec_76,138,211,47,39,52
sec_77,131,225,48,35,48
sec_78,129,245,42,39,48
sec_79,143,193,48,44,51
sec_80,155,191,53,46,56
sec_81,153,292,52,42,59
sec_82,153,214,53,46,54
sec_83,152,251,57,43,52
sec_84,154,244,56,43,55
sec_85,156,249,49,45,62
sec_86,162,252,50,49,63
sec_87,157,298,51,45,61
sec_88,163,212,58,43,62
sec_89,172,195,69,46,57
sec_90,169,190,72,46,51
sec_91,165,287,69,43,53
