Time,Population,Resources,Slows,Middles,Fasts
sec_0,1,1000,0,0,0
sec_1,1,995,0,0,0
sec_2,3,984,2,0,0
sec_3,3,974,2,0,0
sec_4,5,952,3,1,0
sec_5,11,908,5,3,2
sec_6,18,811,8,7,2
sec_7,34,658,12,14,7
sec_8,52,462,16,19,16
sec_9,62,327,20,25,16
sec_10,63,349,20,24,18
sec_11,63,358,22,22,18
sec_12,63,412,20,22,20
sec_13,68,360,19,25,23
sec_14,72,354,24,21,26
sec_15,80,297,28,21,30
sec_16,74,388,26,18,29
sec_17,90,239,29,19,41
sec_18,100,194,33,20,47
sec_19,102,194,38,22,42
sec_20,100,196,37,24,39
sec_21,105,217,35,28,42
sec_22,99,288,36,24,39
sec_23,104,194,36,29,39
sec_24,104,197,35,28,41
sec_25,105,197,32,36,37
sec_26,104,196,34,38,32
sec_27,100,210,32,38,30
sec_28,107,193,37,36,34
sec_29,109,189,43,33,33
sec_30,105,195,41,35,29
sec_31,110,197,41,40,29
sec_32,108,194,40,38,30
sec_33,99,243,40,34,25
sec_34,97,228,37,32,28
sec_35,106,195,38,35,33
sec_36,105,196,36,36,33
sec_37,106,200,38,35,33
sec_38,108,200,37,33,38
sec_39,108,207,36,37,35
sec_40,111,225,36,37,38
sec_41,109,234,33,36,40
