Time,Population,Resources,Slows,Middles,Fasts
sec_0,1,1000,0,0,0
sec_1,3,980,0,1,1
sec_2,8,927,1,2,4
sec_3,20,813,5,4,10
sec_4,45,569,18,9,17
sec_5,62,387,23,14,24
sec_6,74,335,27,19,27
sec_7,72,405,28,15,28
sec_8,76,368,31,15,29
sec_9,81,334,31,22,27
sec_10,81,370,27,23,30
sec_11,90,319,30,27,32
sec_12,99,251,33,28,37
sec_13,109,185,32,32,44
sec_14,113,112,35,35,42
sec_15,102,233,31,32,38
sec_16,94,290,33,26,34
sec_17,98,226,37,29,31
sec_18,98,156,35,32,30
sec_19,94,215,32,31,30
sec_20,96,206,34,27,34
sec_21,93,197,36,24,32
sec_22,92,193,34,26,31
sec_23,88,181,33,25,29
sec_24,88,151,35,22,30
sec_25,81,217,34,19,27
sec_26,79,199,33,20,25
sec_27,87,173,31,24,31
sec_28,87,196,29,25,32
sec_29,88,189,28,28,31
sec_30,85,164,28,28,29
sec_31,88,145,30,28,30
sec_32,87,92,30,27,30
sec_33,82,149,29,26,27
sec_34,71,226,26,23,22
sec_35,72,220,28,22,22
sec_36,69,241,25,21,23
sec_37,74,185,28,23,23
sec_38,76,176,27,22,27
sec_39,77,171,27,24,26
sec_40,76,232,25,23,28
sec_41,79,213,25,24,30
sec_42,80,170,27,24,29
sec_43,77,189,26,21,30
sec_44,83,147,27,25,31
sec_45,79,158,27,22,30
sec_46,74,190,28,21,25
sec_47,68,300,27,16,25
sec_48,74,156,28,20,26
sec_49,77,188,27,24,26
sec_50,80,112,27,24,29
sec_51,77,168,28,24,25
sec_52,73,206,28,22,23
sec_53,70,217,29,19,22
sec_54,67,249,27,17,23
sec_55,72,225,30,18,24
sec_56,76,157,32,20,24
sec_57,79,184,32,20,27
sec_58,77,184,34,19,24
sec_59,76,221,32,18,26
sec_60,77,223,30,19,28
sec_61,83,146,33,21,29
sec_62,88,101,35,22,31
sec_63,78,220,34,18,26
sec_64,75,191,33,18,24
sec_65,74,210,34,15,25
sec_66,77,171,34,17,26
sec_67,76,183,34,19,23
sec_68,79,176,34,17,28
sec_69,77,227,31,17,29
sec_70,75,257,29,18,28
sec_71,77,213,30,21,26
sec_72,82,210,31,25,26
sec_73,81,190,30,23,28
sec_74,83,227,28,26,29
sec_75,86,170,31,28,27
sec_76,87,217,30,25,32
sec_77,90,154,32,26,32
sec_78,90,81,33,28,29
